composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Co1.58 Cu1.74 Fe0.94 Mo0.88 Re0.47 W1.11 Zn0.2,9.368,8.009,251.402,9.559,14.935,1.189,94.825,-0.094,0.221,2207.008,5.332,7.786,0.076
Al1 Be1 Co1 Cr1 Ni1 Ta1 Ti1 Zr1,5.875,28.375,180.125,-30.938,17.288,1.776,71.288,-0.115,0.243,1941.059,4.891,7.368,0.065
B1 Co1 Ni1 V1,6.75,32,246.75,-30.5,11.526,1.518,94.5,-0.092,0.219,2007,4.968,7.641,0.044
Al1.85 Au1.12 Co0.31 Nb1.86 Zr1.81,4.386,22.934,93.106,-41.733,12.374,1.75,33.461,-0.032,0.092,1833.02,5.429,6.968,0.311
Al0.93 Mn0.8 Ni0.75 Ti0.74,5.854,18.702,142.652,-30.511,11.49,2.097,44.105,-0.076,0.179,1495.549,3.845,6.925,0.043
Au1 Co1 Fe1 Nb1 Ni1 Pd1 Re1 Ti1,7.75,12,187.875,-22.062,17.288,1.369,70.5,-0.152,0.405,2077.797,5.14,7.807,0.18
Ag0.7 Cu0.3 Fe0.46 Ni0.46 Ti1.2,7.718,14.237,136.333,-7.164,12.408,1.814,51.593,-0.058,0.132,1675.937,4.148,7.36,0.062
Al0.33 Cr0.42 Cu1.1 Fe0.22 Ni0.59 Ti1.91,6.764,16.606,146.446,-16.787,12.695,2.009,56.243,-0.067,0.171,1716.07,4.266,7.134,0.055
Al0.91 B0.66 Cr1.35 Fe1.51 Ni0.99 V0.91,6.215,36.839,216.499,-19.724,14.591,1.501,85.673,-0.1,0.214,1860.135,4.434,7.219,0.041
Cr1 Cu1 Pd1 Ti1 V1,7.2,11.8,154.8,-21.12,13.381,1.362,61.66,-0.079,0.193,1897.964,4.328,7.281,0.114
Al1.15 Co0.54 Cu1.93 Fe1.82 V1.49,7.439,8.872,147.042,-2.448,12.758,1.328,57.451,-0.056,0.111,1615.786,4.137,7.285,0.03
Be0.54 Co1.95 Cu0.14 Li0.87 Mn1.1 Pd0.98 Ti1.15,6.41,28.073,157.516,-16.693,14.84,1.441,53.516,-0.17,0.359,1570.476,3.697,7.485,0.245
Cr1 Hf1 Nb1 V1,6,17.25,164,-4.25,11.526,1.225,60,-0.127,0.307,2404.75,5.75,6.774,0.042
Au1 Cr1 Mo1 Nb1 Ni1 Pd1,7,12.667,185.333,-18,14.897,1.125,70,-0.129,0.276,2119.897,5.103,7.638,0.213
Co1 Fe1 Mn1 Ni1 Ti1,7.6,17.2,186.8,-16.64,13.381,1.464,62.4,-0.046,0.093,1753.4,4.176,7.537,0.053
Cu1 Fe1 Ni1 Pd1 Ta1,9.6,13.4,169.6,-15.52,13.381,1.148,63.86,-0.027,0.056,2002.964,4.84,7.899,0.1
C1.72 Cu1.85 Fe1.12 Ni1.07 V0.1,8.087,39.966,428.263,-29.882,11.806,1.894,95.668,-0.115,0.269,2276.665,4.984,8.764,0.191
C1 Cr1 Ni1 Zr1,6,50.5,405.75,-74.75,11.526,1.872,98.5,-0.121,0.262,2487.75,5.61,8.075,0.4
Co1.63 Cr0.39 Cu0.38 Ni1.04,9.183,2.631,205.488,0.572,10.025,1.054,76.888,-0.02,0.043,1757.3,4.273,7.665,0.011
Al1 Co1 Cu1 Fe1 Mo1 Ni1 Ta1,8,16.571,190.714,-10.041,16.178,1.459,70.943,-0.071,0.144,1969.177,4.983,7.446,0.08
Mo1.68 Nb0.64,5.724,5.069,267.207,-4.794,4.897,1.371,97.379,-0.076,0.142,2855.724,7.027,7.005,0.125
Al1.48 Fe0.14 Ni0.78 Ta1.31 Zr1.23,6.087,22.943,131.259,-36.666,12.07,1.902,48.717,-0.087,0.198,2006.125,5.603,6.968,0.073
Al1 Co1 Cr1 Hf1 Mo1 W1 Y1,6.429,37.143,215.143,-10.449,16.178,1.63,81.186,-0.169,0.353,2253.924,5.436,6.948,0.305
Cu0.67 Fe1.77 Mn1.96 Ni0.3 Sc0.8 Ti1.25 V1.34,6.471,27.536,158.76,-7.477,15.128,1.572,52.346,-0.06,0.13,1781.642,4.05,7.274,0.055
Co1.81 Cr1.57 Cu0.6 Fe0.69 Ni0.84 Ti0.11 W0.35,8.404,19.709,228.563,-0.825,14.21,1.079,88.256,-0.046,0.099,1950.622,4.49,7.521,0.055
Co1 Cr1 Cu1 Fe1 Mo1 W1,8.333,8.167,261.5,6.556,14.897,1.137,100.217,-0.063,0.132,2284.628,5.33,7.54,0.106
Cu0.52 Ti0.94 V1.5,5.736,9.926,124.541,-1.515,8.432,1.594,51.343,-0.007,0.013,1961.176,4.844,6.944,0.03
Fe1 Mo1 Nb1 Pd1 Si1,6.6,21.2,174.6,-44.32,13.381,1.848,66.2,-0.095,0.219,2194.41,5.438,7.65,0.098
Al0.78 Cr1.82 Cu1.16 Fe0.21 Ni1.37 Re0.39,7.974,10.778,211.529,-2.477,13.346,1.316,83.177,-0.111,0.236,1809.319,4.222,7.181,0.033
Al1 Cr1 Cu1 Fe1 Si1 V1,6.167,13.167,154.167,-19.556,14.897,1.9,62.6,-0.094,0.209,1692.04,4.195,7.213,0.031
Ba0.61 Co0.23 Cu1.8 Nb0.62 Ni0.91 Ti1.75,7.144,105.35,125.017,-2.072,13.359,1.765,46.784,-0.095,0.161,1711.969,4.287,7.093,0.189
Cr1.43 Hf0.5 Nb0.7 Pd1.77,7.677,20.189,172.418,-38.528,10.569,1.095,64.53,-0.133,0.299,2166.147,4.786,7.404,0.21
Al1.18 Co1.41 Cr0.27 Mo1.74 Ni1.67 Ta0.32 V0.78,7.024,17.068,206.03,-15.968,14.815,1.467,77.353,-0.081,0.158,2016.732,5.058,7.178,0.089
Cr1 Cu1 Fe1 Mo1 Re1 Si1,7.667,17.167,253.167,-12.111,14.897,1.713,98.383,-0.099,0.215,2231.795,5.203,7.588,0.043
Cr1 Mo1 Ni1 Ta1,7.75,11.75,248.5,-13.75,11.526,1.26,95,-0.027,0.057,2523.5,5.865,7.349,0.126
Cu1 Nb1 Ta1 V1 Zr1,6.8,17.2,128.6,-1.92,13.381,1.256,49.06,-0.033,0.07,2341.754,6.2,7.151,0.069
Fe1.05 Mo1.35 Ni0.85 Pd1.9 Ta0.17,8.558,11.739,206.244,-11.86,11.964,1.138,76.697,-0.062,0.147,2126.418,4.933,7.811,0.067
B1.17 Co0.64 Ni0.76 Si1.66 Ta1.86 Ti0.2 W0.66,6.856,37.396,234.576,-52.217,14.816,2.446,90.083,-0.112,0.273,2437.388,6.113,7.96,0.135
Co1 Cu1 Nb1 Ni1 V1,8,14.6,154.4,-11.2,13.381,1.082,58.86,-0.031,0.064,1957.354,5.04,7.35,0.038
Cu0.89 Ni1.9,10.319,2.724,177.67,3.476,5.205,1.109,67.164,-0.018,0.037,1609.898,4.137,7.667,0
Cu1.49 Fe0.92 Hf0.2 Mg1.45 Ni1.25 Sc1.1,6.872,24.42,126.875,-8.865,13.996,1.718,47.575,-0.125,0.269,1510.787,3.382,7.489,0.154
Co1 Cr1 Cu1 N1 Nb1 V1 W1,7.286,58.571,223.143,-57.143,16.178,1.636,76.329,-0.129,0.309,1999.56,5.521,8.325,0.471
Al1 Co1 Cr1 Cu1 Sn1 W1,7.167,28.667,191.5,5.778,14.897,1.893,73.933,-0.21,0.467,1739.887,4.563,7.261,0.119
Co1 Fe1 Mo1 Ni1 Ti1 W1,7.833,13.667,246,-12.333,14.897,1.515,93,-0.075,0.164,2306.5,5.613,7.536,0.134
Cr1.51 Ni0.36 Ti0.7 V0.9,5.752,14.026,198.758,-9.911,10.56,1.365,81.588,-0.071,0.14,2085.671,4.6,6.864,0.019
Cr0.38 Ta0.87,8.088,12.528,214.272,-5.924,5.107,1.372,82.984,-0.027,0.065,2952.56,6.884,7.549,0.011
Al0.64 Cr1.71 Cu0.21 Fe0.61 Nb1.64 Ti0.89,5.461,16.809,167.253,-12.271,13.434,1.616,65.811,-0.132,0.286,2096.939,5.129,6.843,0.017
Al0.23 Au0.61 Co0.33 Fe0.38 Nb1.51 Ni1.6 Si1.26 V0.66,6.328,18.372,138.401,-42.294,15.641,1.851,53.837,-0.06,0.12,1943.129,5.173,7.562,0.134
Cu1 Ni1 Si1 Ti1 W1,7.8,18.8,192.8,-29.28,13.381,2.228,75.26,-0.134,0.348,2081.754,5.262,7.642,0.136
Au1 Fe1 Hf1 Li1 N1 Ni1 Ti1,5.857,66,151.429,-75.51,16.178,1.981,43.314,-0.174,0.346,1405.733,4.273,8.335,0.87
Fe1 Nb1 Pd1 Ta1 Ti1,7.2,14.8,147.8,-35.04,13.381,1.586,55.4,-0.044,0.095,2324.01,5.738,7.543,0.135
Al1 Co1 Cu1 Ni1 Pd1 Si1,7.833,14.833,139.5,-29.333,14.897,1.947,52.767,-0.054,0.112,1550.382,4.033,7.62,0.058
Cu1.36 Ni1.99,10.406,2.376,171.582,3.859,5.615,1.095,64.755,-0.021,0.044,1577.698,4.054,7.675,0
Ag1.95 Al0.97 Fe1.55 Nb0.46 Pd1.27 V1.95,7.547,16.663,123.726,-7.934,14.178,1.239,48.542,-0.074,0.162,1713.387,4.224,7.323,0.084
Cr1 Hf1 Mg1,5.333,16,156,11.111,9.134,1.563,54,-0.255,0.648,1869.667,3.877,7.079,0.056
Ni0.26 Ti0.42,6.294,14.206,148.118,-33.062,5.531,2.315,56.235,-0.032,0.076,1859.559,4.693,7.138,0.065
Al1 Nb1 Pd1 V1,5.75,16.25,106,-42.25,11.526,1.548,41.325,-0.034,0.072,1923.63,5.032,6.957,0.129
Co1 Cu1 Fe1 Mn1 Mo1 Re1,8.667,8.667,256.667,5.111,14.897,1.153,89.717,-0.125,0.284,2135.128,4.967,7.654,0.063
Al1.84 Cr0.78 Fe0.65 Hf1.43 Mo1.08 Ni0.23 V0.26,5.888,25.075,179.281,-21.895,14.527,1.827,63.189,-0.166,0.397,1957.163,4.871,6.757,0.157
Cu0.21 Mo1.62 Ni0.6 V1.88,6.364,10.195,213.671,-3.912,9.573,1.125,82.901,-0.058,0.127,2347.446,5.668,7.051,0.114
Be2.0 Nb0.39,2.49,34.31,257.301,-13.655,3.699,1.889,116.661,-0.055,0.089,1754.184,4.047,8.904,0
Ba1 Fe1 Mn1 Mo1 Ni1 Ti1,6.167,100.333,177.833,13.111,14.897,1.618,60.333,-0.191,0.378,1815.833,4.122,7.019,0.32
Cr1.59 Fe0.77 Pd1.98 Ta0.85 V0.75 W1.6,8.342,10.355,233.072,-17.418,14.275,1.123,91.792,-0.102,0.228,2496.812,5.653,7.652,0.209
Al1.11 Fe1.75 Mo2.0 Nb1.23 Pd1.92 Ti1.94 Y1.35 Zr1.62,5.648,33.989,149.392,-31.885,17.116,1.722,57.127,-0.122,0.295,2053.507,5.236,7.073,0.237
Al0.75 Au1.07 Fe1.62 Mo1.93 Ni0.56,6.364,14.278,206.535,-4.422,12.58,1.41,76.832,-0.126,0.235,1959.836,4.919,7.612,0.174
Al0.49 Au1.76 Co1.19 Cr0.38 Fe0.61 Mo1.77 Ni1.67 Zr1.98,6.435,22.394,178.423,-27.476,16.146,1.299,65.791,-0.132,0.284,1936.371,5.091,7.553,0.314
Al1 Fe1 Ni1 Ta1 Ti1 Zr1,6.333,23.167,146.167,-32.667,14.897,1.885,55.05,-0.076,0.154,1971.912,5.26,7.147,0.078
Al1.62 Cr0.41 Li1.07 Mo1.57 Nb0.35 Ni0.65 Zr1.36,4.481,21.478,149.457,-6.548,15.07,1.674,55.509,-0.276,0.612,1766.419,4.835,6.506,0.303
Al1 Au1 Fe1 Mo1 Re1 Sc1,6,24.333,204.167,-17.111,14.897,1.89,77.05,-0.236,0.546,2041.8,4.905,7.442,0.286
Ni1.08 Ti1.84,6.219,14.493,147.068,-32.629,5.478,2.338,55.836,-0.032,0.077,1862.219,4.698,7.128,0.064
Al1 Au1 C1 Co1 Cu1 Ti1,6,52,275.5,-43.556,14.897,2.165,65.1,-0.21,0.582,1875.428,4.543,8.151,0.327
Cu1 Fe1 Hf1 Mo1 Ni1 Pd1 Ta1 Zr1,8.25,19.875,176.875,-28.688,17.288,1.297,62.788,-0.091,0.202,2193.102,5.446,7.507,0.216
Al0.24 Cu0.3 Fe0.24 Mn1.53 Mo0.66 N1.93 Nb0.45 Ta1.76,6.8,51.895,222.241,-111.021,14.864,2.323,54.708,-0.086,0.221,1751.225,5.478,9.38,0.835
Cu1 Mo1 Nb1 Ni1 Ti1 W1,7.667,13.167,215.167,-6.444,14.897,1.555,81.217,-0.134,0.309,2394.628,6.012,7.319,0.166
Al1 Cr1 Pd1 Re1 Ta1 W1 Zr1,7.571,21.857,232,-31.51,16.178,1.54,89.471,-0.194,0.415,2501.931,6.111,7.337,0.243
Al0.55 B1.39 Co1.83 Cu1.84 Fe1.88 Nb0.58,7.493,35.059,216.016,-11.598,14.036,1.519,80.928,-0.125,0.298,1798.257,4.548,7.713,0.031
Co1 Cr1 Pd1 Ti1,7.25,12.25,181.25,-30,11.526,1.485,69.5,-0.078,0.176,1929.262,4.307,7.453,0.126
Au1 Co1 Nb1 Ti1,5.75,15.5,127,-30.75,11.526,1.595,46,-0.067,0.15,1949.082,5.152,7.674,0.315
Al1 Mo1 Nb1 Ta1 V1,5.6,18.6,163.6,-11.36,13.381,1.638,62.06,-0.118,0.275,2410.494,6.232,6.896,0.11
Cu1 Ni1 Ta1 Zr1,8.5,20.5,152.5,-23,11.526,1.305,56.575,-0.043,0.09,2125.942,5.64,7.472,0.127
Co1.24 Cr1.15 Fe1.74 Mg0.45 Ni1.63,7.919,17.977,208.277,-0.353,12.735,1.12,80.428,-0.05,0.081,1784.614,4.11,7.6,0.051
Al0.6 Cr0.13 Ni0.44 Ti0.71,5.223,15.952,132.25,-35.478,10.45,2.44,50.75,-0.095,0.25,1586.123,4.227,6.745,0.042
Au1.72 Cr0.2 Ti0.7,4.809,15.58,103.496,-33.546,6.862,1.536,38.26,-0.093,0.37,1562.942,4.103,8.398,0.429
Al0.14 Mo0.43,5.263,15.842,265.386,-3.706,4.635,1.788,96.986,-0.099,0.173,2413.975,5.97,6.826,0.112
Ag1.58 Co0.14 Cr0.42 Ni1.67,9.937,11.814,160.52,15.584,9.071,1.067,61.186,-0.085,0.221,1574.821,3.783,7.526,0.013
Cr0.9 Fe0.69 Mo1.51 Re1.1,7.638,7.983,333.995,-4.148,11.186,1.236,127.876,-0.032,0.065,2711.774,6.103,7.364,0.073
Ag1.73 Co1.41 Cr0.74 Cu0.2 Mn1.53 Pd0.94 Ti1.32,8.1,11.494,157.629,-7.333,15.201,1.345,51.512,-0.094,0.245,1666.915,3.755,7.496,0.099
Al1.76 Mn1.1 Mo0.49 Ni1.6 Ti1.69,5.825,17.133,153.351,-29.211,12.748,2.125,51.137,-0.107,0.275,1623.183,4.182,6.921,0.077
Co0.41 Fe1.27,8.244,0.756,210.512,-0.738,4.62,1.045,80.292,-0.001,0.001,1800.506,4.307,7.897,0.001
Au1 Co1 Cr1 Cu1 Mn1 N1 Ni1 Sc1,7,60.375,183.5,-57,17.288,1.812,55.662,-0.114,0.265,1470.906,3.912,8.471,0.533
Cr0.79 Fe0.11 Hf0.2 Mo1.01 Nb1.06 Ni1.45 Ta0.87 Zr0.78,7.022,20.678,197.951,-20.78,15.866,1.309,73.895,-0.094,0.192,2438.646,6.125,7.182,0.148
Co1 Fe1 Mo1 Nb1 Ta1 Ti1,6.833,13.167,192.667,-16.111,14.897,1.565,71.333,-0.066,0.143,2409.333,6.002,7.393,0.107
Al1 C1 Cu1 Fe1 Mn1 Nb1,6.333,49.167,294,-37.333,14.897,1.892,66.6,-0.203,0.553,2047.707,4.832,7.844,0.234
Fe1.86 Mg0.33 Ni1.61 Si1.65 Ti1.75 V1.19,6.101,18.072,150.319,-39.751,14.149,2.183,59.937,-0.048,0.088,1815.638,4.536,7.503,0.059
Al0.23 B0.2 Be0.89 Co1.89 Cr1.68 Ta1.0 Ti0.71,6.364,42.159,226.306,-21.346,14.344,1.558,89.806,-0.068,0.135,2082.565,4.794,7.626,0.049
Au1.44 Cr0.79 Fe1.19 Ni0.19 Pd1.71 Ti1.41,6.85,13.733,147.443,-27.649,13.835,1.419,56.319,-0.101,0.248,1782.19,4.181,7.93,0.272
Be1.32 Co0.26 Cu1.95 Fe0.69 Re1.81,8.6,20.308,276.998,8.78,11.993,1.346,110.561,-0.106,0.235,2102.307,4.914,8.148,0.036
Ag1 Fe1 Li1 Nb1 Ti1,5.8,17.2,105.2,16.96,13.381,1.486,39.64,-0.19,0.403,1638.116,4.256,6.891,0.219
Cr1.01 Hf1.71 N1.16 Nb0.48 Ni1.99,7.534,59.946,208.572,-100.713,12.597,1.97,60.367,-0.107,0.251,1782.525,5.13,8.474,0.7
Al1.67 Cu1.28 Fe1.97 Hf0.26 Mg1.45 V0.78 Zr1.28,5.621,25.359,117.586,-9.68,15.279,1.652,44.469,-0.127,0.278,1528.308,4.001,7.142,0.106
Al1 Co1 Fe1 Nb1 Ni1 Re1 Ti1,7.143,15.143,196.286,-25.143,16.178,1.714,74.186,-0.156,0.399,2055.781,5.256,7.268,0.045
Cr1.01 Cu1.07 Fe0.2 Mo1.2 Ni0.43 Sn1.29,6.94,23.435,193.921,13.129,13.795,1.826,73.871,-0.153,0.317,1708.963,4.399,7.3,0.054
Cr1.77 Mn0.54 Mo0.48 Ni1.29 Sn1.67,6.41,24.198,191.334,0.965,12.359,1.911,70.983,-0.164,0.345,1589.834,4.014,7.221,0.063
Al1.54 Co1.18 Fe1.02 Mo0.54 Ni0.46 Zr1.1,6.103,28.863,161.421,-30.948,14.252,1.686,59.709,-0.112,0.258,1724.405,4.731,7.059,0.12
Al1.71 Co1.95 Cu1.81 Fe1.82 Ni0.38,7.947,6.335,159.396,-3.615,12.585,1.476,59.552,-0.066,0.133,1493.358,3.924,7.415,0.025
Co1 Cr1 Mn1 Ni1 Pd1 Ti1,7.667,15.333,187.167,-22.667,14.897,1.358,64.833,-0.08,0.179,1827.342,4.098,7.481,0.109
Mo1.57 Nb0.5 Ni0.93 Ti1.73 W1.16,6.747,15.576,243.204,-13.172,12.746,1.837,91.844,-0.114,0.25,2576.042,6.339,7.227,0.209
Fe1.57 Zr1.7,5.92,17.676,150.174,-24.96,5.756,1.279,56.526,-0.078,0.188,1975.801,5.45,7.243,0.125
Au1 Cr1 Cu1 Li1 Nb1 Ta1 Ti1 Zr1,5.625,16.125,124.875,-4.938,17.288,1.419,47.312,-0.188,0.426,1929.719,5.009,7.153,0.36
Al0.47 Ba1.53 Co0.43 Cu1.18 Fe1.87 Mn0.33 Ni0.95 Zr1.15,6.661,97.922,133.258,0.237,16.096,1.425,48.583,-0.186,0.353,1555.977,3.85,7.005,0.298
Al0.46 Co1.58 Cr1.22 Cu1.28 Fe0.17 Zr0.21,7.967,32.602,187.97,-3.86,12.748,1.2,71.868,-0.085,0.169,1702.263,4.075,7.335,0.044
Ag1.82 Co1.11 Cu0.55 Fe0.19 Hf0.56 Mn1.55 Mo1.15 Si0.55,8.29,24.805,176.388,-1.029,15.898,1.394,55.467,-0.13,0.331,1780.344,4.179,7.524,0.115
Si1 Sn1,4,25.5,78.5,-11,5.763,4.245,32.5,-0.084,0.199,1096.04,3.885,7.748,0.002
Mn1 Mo1 Ni1 V1,7,8,213.75,-7.25,11.526,1.125,72,-0.085,0.189,2081.5,4.872,7.23,0.116
Al1 Cr1 Cu1 Mn1 Zr1,6.2,27.8,154.2,-16.96,13.381,1.494,51.52,-0.15,0.399,1623.648,4.08,6.909,0.067
Al1 Cr1 Mo1 Ni1 Pd1 Ti1,6.5,14.5,185.833,-29.778,14.897,1.745,70.883,-0.122,0.259,1917.753,4.577,7.11,0.137
Ag1.05 Al1.64 Mn1.77 Ni0.51 W1.91,7.712,14.289,209.218,3.538,12.692,1.625,70.182,-0.267,0.673,1955.658,4.802,7.245,0.22
Ag1 Ni1 Pd1 V1,9,11.5,133,-7,11.526,1.008,51.75,-0.05,0.107,1743.495,4.148,7.575,0.081
Al1.24 Au0.25 Mg1.06 Ni1.22 Si1.73 Ti1.59 Y1.04,4.39,42.923,102.597,-46.061,15.427,2.72,42.314,-0.08,0.171,1531.862,3.997,7.205,0.178
Ag0.87 Re0.28 Ta0.42,10.465,6.841,178.325,19.336,8.209,1.229,66.828,-0.19,0.662,2181.343,5.211,7.714,0.07
Al1 Cu1 Fe1 Mn1,7.25,6.75,152.25,-3.5,11.526,1.527,47.9,-0.085,0.196,1405.31,3.512,7.262,0.043
Ag1 Co1 Fe1 Ni1 Re1 Ti1 V1,8.286,13,201.429,-3.51,16.178,1.369,77.429,-0.129,0.332,2017.847,4.874,7.493,0.041
Ag1.57 Co0.36 Cr1.25 Fe1.94 Ti1.52,7.471,11.378,171.681,5.494,12.557,1.468,66.839,-0.096,0.212,1771.684,4.068,7.364,0.044
Al1 Cr1 Mo1 N1 Ta1 W1,6.5,57.5,262.5,-71.556,14.897,2.195,88.55,-0.141,0.288,2176.27,6.028,8.357,0.579
Ni1.9 Ti1.24,7.631,13.917,166.828,-33.454,5.578,1.898,63.363,-0.029,0.061,1812.115,4.602,7.319,0.065
Co1.66 Nb1.23 Ni0.39 Ti1.72 W0.91,6.932,13.863,190.799,-21.249,12.554,1.743,71.585,-0.121,0.33,2316.797,5.883,7.323,0.158
C1 Co1 Fe1 Re1,8,44.5,483.25,-33.25,11.526,1.85,126.25,-0.068,0.144,2738.25,5.985,8.731,0.175
Fe1 Re1 Ti1 Zr1,6.75,17.5,221,-25.5,11.526,1.743,84.25,-0.185,0.459,2334.75,5.89,7.311,0.105
Ba0.62 Cu0.19,4.111,95.679,40.444,-6.464,4.529,1.788,15.157,-0.338,1.465,1083.921,1.906,5.802,0.366
Ba0.59 C0.74 Co1.72 Cr1.41 Ni1.52 Sn0.92,6.806,117.628,273.557,-17.49,14.32,1.824,79.997,-0.178,0.332,1839.579,4.241,7.663,0.283
Al1 C1 Co1 Fe1 Ni1 Re1 Ti1 Zr1,6.625,55.875,301.625,-52.375,17.288,2.011,85.538,-0.179,0.408,2210.434,5.39,7.751,0.228
Co0.45 Mo0.13 Ni1.82 Pd1.67 Ta1.05 Ti0.6,9.017,11.75,169.194,-33.641,12.949,1.368,62.937,-0.032,0.073,2095.976,5.044,7.811,0.141
Cr1 Fe1 Mo1 Ni1 W1,8,7.8,286,-3.36,13.381,1.19,110.8,-0.035,0.076,2462,5.708,7.454,0.123
Ag1.95 C1.07 Cr0.89 Mo1.41 Pd1.81 Ti0.43,7.851,59.942,299.794,-23.376,14.106,1.585,80.755,-0.17,0.401,2217.477,4.766,8.053,0.158
Cu0.3 Fe1.49 Mn1.65 Mo1.89 Ni1.3 Ti0.57,7.415,15.974,226.114,-4.776,13.776,1.314,75.708,-0.086,0.177,2005.317,4.676,7.444,0.109
Fe0.59 Mn0.15 Ti1.24 V1.53 W1.78,6.839,11.639,231.654,-5.522,11.731,1.599,91.112,-0.142,0.313,2574.72,6.228,7.29,0.252
Al0.87 Co0.57 Cr0.32 Fe0.27 Nb0.31,5.714,20.295,153.346,-19.772,12.479,1.792,58.27,-0.117,0.297,1649.123,4.376,6.878,0.029
Al1.63 Hf1.14 Nb0.89 Ni0.91 W1.85,7.174,22.936,204.682,-22.509,13.006,1.836,74.439,-0.248,0.592,2372.917,6.165,7.018,0.302
Co1 Ni1 Ta1 Ti1 W1,8.4,12.2,224.4,-21.12,13.381,1.644,85,-0.091,0.219,2484.4,6.136,7.621,0.193
Al1.95 Cr1.48 Mn0.86 Ti1.87 V1.48,4.664,15.852,147.39,-17.624,13.093,1.981,54.741,-0.128,0.328,1729.518,4.196,6.654,0.004
Al1 Au1 C1 Cr1 Fe1 Mo1 N1 V1,5.25,50.5,305.625,-62.75,17.288,2.13,79.662,-0.171,0.369,1914.869,4.991,8.69,0.501
Al1 Cu1 Nb1 Ti1 V1 W1,6.333,17.333,160,-6.889,14.897,1.782,62.433,-0.181,0.521,2143.373,5.58,6.985,0.164
Al1 Co1 Fe1 Nb1 Zr1,5.8,25,137.8,-31.36,13.381,1.58,50.86,-0.094,0.204,1878.094,5.226,7.032,0.077
Au1 Co1 Cr1,6.667,11.667,188.667,1.333,9.134,0.983,72.333,-0.111,0.247,1761.777,4.097,7.958,0.28
Al1 Au1 Cr1 Mo1 Sn1 V1,4.833,24.5,155.667,-5.333,14.897,1.865,60.55,-0.217,0.483,1672.48,4.422,7.195,0.23
Al1.08 Cr0.1 Fe1.42 Mo1.44 Nb1.2,5.695,14.542,191.389,-13.367,12.034,1.607,71.516,-0.13,0.272,2150.383,5.538,7.003,0.105
Cr0.47 Cu1.46 Ni0.32 V0.9,8.438,5.308,158.771,3.866,10.23,0.976,63.552,-0.049,0.131,1753.843,4.198,7.294,0.034
Au1 Co1 Cr1 Fe1 W1,7.6,11.6,237.6,3.36,13.381,1.086,92,-0.113,0.234,2158.266,5.094,7.928,0.226
Cu1 Fe1 Y1 Zr1,6.5,30,124.75,-12.25,11.526,1.352,51.075,-0.059,0.133,1773.942,4.69,7.12,0.178
Co0.32 Fe1.22 Ni1.34 W1.83,9.414,8.586,285.442,-2.092,10.455,1.228,110.512,-0.065,0.133,2516.465,6.128,7.811,0.115
Co1.54 Cr1.84 Cu1.21 Fe1.69 Ni0.84 Ti1.9 V0.16,7.465,16.2,191.502,-9.858,15.096,1.431,74.148,-0.054,0.114,1843.803,4.309,7.381,0.041
Al1.21 Fe1.74 Ni0.95 Ta0.74 Zr1.13,6.626,26.783,153.501,-32.184,13.043,1.632,58.068,-0.086,0.171,1865.074,5.044,7.207,0.088
Al0.46 Cu0.38 Fe1.12 Mo0.18 Nb0.6,6.788,15.832,160.635,-8.264,12.061,1.454,60.836,-0.096,0.202,1877.719,4.903,7.253,0.049
Al1 Cr1 Cu1 Mo1 Nb1 Ni1 Pd1 Ti1,6.875,15.625,168.75,-22.875,17.288,1.599,63.95,-0.122,0.276,1951.786,4.815,7.143,0.118
Co1 Fe1 Mn1 Si1,7,11.25,181.25,-31,11.526,1.912,59.75,-0.05,0.105,1696.25,4.055,7.842,0.04
Cu1.75 Nb1.88 Ni1.25,8.432,12.09,138.299,-8.714,9.013,1.164,51.427,-0.037,0.086,1988.954,5.305,7.331,0.044
Al1 Co1 Nb1 Pd1 Ti1,6.2,17,124.2,-45.28,13.381,1.87,45.46,-0.056,0.126,1844.104,4.812,7.158,0.122
Co1.61 V1.98,6.794,4.964,164.326,-13.851,5.719,0.958,65.072,-0.009,0.019,1996.886,4.897,7.255,0.031
Ag1 Al1 Co1 Cr1 Fe1 Ti1 Zr1,6.429,24.429,151.714,-16.49,16.178,1.649,57.9,-0.128,0.287,1713.771,4.351,7.082,0.078
Al0.14 Nb0.48,4.548,21.677,97.097,-12.587,4.441,1.702,35.358,-0.01,0.019,2339.816,6.619,6.584,0
Mo0.5 Pd1.88,9.16,0,164.697,-9.957,4.274,1.05,59.966,-0.085,0.267,2052.409,4.506,8.077,0.001
Ag1 Al1 Co1 Cr1 Cu1 Ni1 V1 W1,8.125,14.875,188.75,3.062,17.288,1.307,73.575,-0.145,0.333,1885.021,4.618,7.273,0.104
Co0.85 Cr0.28 Mo0.99 Ni0.58 Sn0.25 Ta1.34 W1.23,8.411,24.549,265.353,-9.381,14.987,1.456,100.33,-0.082,0.16,2728.659,6.665,7.633,0.199
Au1 Ni1 Ta1,8,14,154.667,-24,9.134,1.243,57.333,-0.065,0.142,2118.443,5.447,8.252,0.366
